frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
77,3.208333354545455,0.05612486792147231,3.122654642489712,0.3404716435185122,0.4124734760802511,0.75752044,1.0603302,0.09351946825516044,0.0,0.0,0.38459539162925344,0.0,0.0,0.20542421524170965,0.0,0.05489347638226212,False
78,3.2500000214876033,0.1120246797744111,4.952786297582304,0.3301789158950612,0.4261250964506189,1.1908244,0.75793767,0.17381527899925353,0.5593339887519753,0.5867628173668642,0.33793888350661827,0.0,0.5458882802677768,0.0,0.45360626121544634,0.42961028448271,False
79,3.291666688429752,0.09446482567755021,4.159443158436214,0.480154803240751,1.5242346643518516,1.0610123,1.5969406,0.15550072719612396,0.13190415600371935,0.013515748817321113,1.0177733707421288,2.808044006844907,0.0618859780131504,1.6058090203750834,0.1479489922486106,0.5245911637313113,False
80,3.333333355371901,0.06355058730742036,3.532258069701646,0.36903886959876786,0.5503144290123458,0.926228,0.98224634,0.105291758944566,0.0,0.0,0.5140894445582201,0.1900335619799119,0.0,0.001649990260890438,0.0,0.0667436286350862,False
81,3.3750000223140497,0.05872739215448053,3.0263806905864197,0.18278549382716847,0.6867775848765518,0.7978545,2.458334,0.09515318364403813,0.0,0.0,0.0,0.5568623375081158,0.0,3.853775039937821,0.0,0.3528509901956749,False
82,3.4166666892561985,0.05420760829994242,3.0537678433641977,0.323371913580246,0.9549479166666686,0.80367154,1.5467675,0.08622215524877663,0.0,0.0,0.3070830238734174,1.2777352633947991,0.0,1.4748728241037,0.0,0.25091694938722164,False
83,3.4583333561983474,0.06816995992556985,3.657372845936214,0.6011564429012424,0.6816348379629744,0.9374448,0.9105043,0.11579899581740083,0.0,0.0,1.566268792967149,0.5430380378925015,0.0,0.0,0.0,0.20006992232811505,False
84,3.500000023140496,0.14892486679716865,5.952776331018518,0.0890890239197546,0.11873263888890051,1.3619128,0.6468961,0.2191850175621366,1.4575328394096332,1.3093270231442962,0.0,0.0,1.1837887031384196,0.0,1.210795982915351,0.9642257038585416,False
85,3.541666690082645,0.10553044108993548,4.423814943415638,0.12975308641975403,0.4046995563271736,1.0973722,1.5043932,0.1603841996149954,0.4012557188858893,0.20454324154863196,0.0,0.0,0.1974532741970474,1.3642893335307325,0.2294507870330205,0.3077708041102988,False
86,3.5833333570247934,0.09941685849961546,4.552627154063786,0.2980545910493788,0.3055589313271696,1.08667,0.73627913,0.16625280644217044,0.2524431165909605,0.29761926187813964,0.1923206491639687,0.0,0.1575505513849155,0.0,0.32739379730793927,0.21587685435994936,False
87,3.625000023966942,0.09816390441788225,4.265067676183127,0.6724561149691368,1.8043528163580334,1.0993634,1.6599524,0.15459276375373332,0.22194457425442676,0.08983700525441442,1.889467254121179,3.5610340579170257,0.2048776981171803,1.770249935216795,0.1327957070846556,0.7356899312979285,False
88,3.666666690909091,0.07446800620761918,3.7742076581790123,0.025612461419740384,0.43050684799383987,0.9549192,0.8264741,0.12086832857791852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
89,3.70833335785124,0.07009257339929587,3.3764549575617284,0.1291280864197546,0.5669246720678984,0.88961697,1.4688854,0.11785303810760339,0.0,0.0,0.0,0.23468382001261814,0.0,1.2716251338420053,0.0,0.12050471630836988,False
90,3.7500000247933887,0.09443841753721205,4.084721418467078,0.3793465470678967,1.7884172453703684,1.0962259,1.0481199,0.15707090535694557,0.13126134730236735,0.0,0.5608137197122797,3.518197396579918,0.19317925238095557,0.17355929844656942,0.174154185451651,0.4421753364035318,False
91,3.7916666917355375,0.10447699209469496,4.823066165123457,0.9297468171296259,1.1888642939814815,1.1081681,0.72389555,0.17241424009692596,0.37561339148608675,0.4930307586968525,3.0557553532911923,1.9065295905007376,0.23770579475972672,0.0,0.43022388586686916,0.7488019737012865,False
92,3.8333333586776863,0.05900546626029468,3.084433191872428,0.033316936728397195,0.510128761574066,0.77344435,0.9809818,0.09939875988663993,0.0,0.0,0.0,0.08200983142192302,0.0,0.0,0.0,0.006560786513753841,False
93,3.8750000256198347,0.12415076480187281,4.895803915895062,0.11312692901235266,0.4078949652777766,1.2123566,1.5609666,0.18228371960292233,0.8544987701100186,0.5455889776380155,0.0,0.0,0.6261706420119102,1.5119281132792683,0.5949387085037801,0.6138016260438118,False
94,3.9166666925619835,0.07774200839701417,3.8387895447530864,0.10399884259260261,0.4174271797839566,0.8937453,0.81155527,0.13490331302782654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
95,3.9583333595041323,0.12624796718487963,5.27563577031893,0.7131761188271639,1.468749035493829,1.2153717,1.1579412,0.19253494900164236,0.9055474211331551,0.8200446152383852,2.074049345502587,2.6588922071191647,0.6374126172401143,0.46015844581678755,0.7660246742018255,1.0462001514313195,True
96,4.000000026446282,0.06154387613666357,3.210149659207819,0.19090615354937768,0.5396952160493811,0.80896956,1.0448792,0.10108374597615266,0.0,0.0,0.0,0.16148788704217323,0.0,0.1651020775665682,0.0,0.026127197168699316,False
